ID,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,State
1001,158138,0,0,63,0,0,1,0,0,0,1,0,0,State-California
1002,146344,1,1,66,0,0,1,0,0,0,1,0,0,State-Florida
1003,171613,0,0,55,0,0,0,1,0,0,1,0,0,State-Illinois
1004,126646,1,0,36,0,0,0,1,0,0,1,0,0,State-New York
1005,158293,1,0,39,0,1,0,0,0,0,0,0,1,State-Texas
1006,162513,0,1,53,0,0,0,1,0,0,0,1,0,State-Other
1007,155635,0,1,49,1,0,0,0,0,0,1,0,0,State-California
1008,133454,1,0,35,0,1,0,0,0,0,0,0,1,State-Florida
1009,130351,1,0,46,0,0,0,1,0,0,0,0,1,State-Illinois
1010,105648,1,1,70,0,0,0,1,0,0,0,0,1,State-New York
1011,107500,0,0,44,0,1,0,0,0,1,0,0,0,State-Texas
1012,163033,0,0,61,1,0,0,0,0,0,1,0,0,State-Other
1013,159354,1,1,68,1,0,0,0,0,0,0,1,0,State-California
1014,117323,0,0,33,0,1,0,0,0,0,1,0,0,State-Florida
1015,182800,0,0,74,0,0,1,0,0,0,0,0,1,State-Illinois
1016,141850,1,1,40,0,1,0,0,0,0,1,0,0,State-New York
1017,137760,0,0,74,0,0,0,1,0,0,1,0,0,State-Texas
1018,176995,0,1,71,0,1,0,0,0,0,0,1,0,State-Other
1019,133812,1,0,35,0,0,1,0,0,0,0,0,0,State-California
1020,137040,0,0,38,0,1,0,0,0,0,1,0,0,State-Florida
1021,102447,1,0,41,0,1,0,0,0,0,1,0,0,State-Illinois
1022,158607,0,1,71,0,1,0,0,0,0,0,0,1,State-New York
1023,165324,0,1,66,0,1,0,0,0,0,0,0,1,State-Texas
1024,140689,0,1,69,0,0,0,1,0,0,1,0,0,State-Other
1025,118589,0,0,51,0,0,1,0,0,0,1,0,0,State-California
1026,153359,1,1,44,0,1,0,0,0,0,1,0,0,State-Florida
1027,138360,1,0,31,0,1,0,0,0,0,1,0,0,State-Illinois
1028,184618,0,0,55,0,1,0,0,0,0,0,0,1,State-New York
1029,110979,0,0,31,1,0,0,0,0,0,0,1,0,State-Texas
1030,138620,0,0,57,0,0,0,1,0,0,0,1,0,State-Other
1031,140548,0,1,50,0,0,0,1,0,0,1,0,0,State-California
1032,146610,0,2,68,1,0,0,0,0,0,0,0,1,State-Florida
1033,168657,0,0,74,0,1,0,0,0,0,0,1,0,State-Illinois
1034,149389,1,1,69,0,0,1,0,0,0,0,1,0,State-New York
1035,167353,0,1,50,0,1,0,0,0,0,0,0,1,State-Texas
1036,123718,1,0,44,0,1,0,0,0,0,0,0,0,State-Other
1037,142429,0,1,47,0,0,0,0,1,0,1,0,0,State-California
1038,148948,0,0,77,1,0,0,0,0,0,0,0,1,State-Florida
1039,180011,0,1,40,0,1,0,0,0,0,1,0,0,State-Illinois
1040,120559,1,0,35,0,1,0,0,0,0,0,1,0,State-New York
1041,121994,0,1,63,0,0,0,1,0,0,1,0,0,State-Texas
1042,107500,1,0,45,0,1,0,0,0,0,0,1,0,State-Other
1043,179941,0,0,44,0,0,1,0,0,0,1,0,0,State-California
1044,107500,0,0,24,0,1,0,0,0,0,0,0,0,State-Florida
1045,141728,1,0,52,0,0,0,1,0,0,1,0,0,State-Illinois
