ID,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot,Enrollment
1001,0,0,0,0,0,0,1,2/9/2019
1002,0,0,0,0,0,0,0,8/12/2020
1003,0,0,0,0,0,0,0,1/26/2020
1004,0,0,0,0,0,0,0,7/17/2020
1005,0,0,0,0,0,0,0,6/25/2020
1006,0,0,0,0,0,0,0,2/14/2020
1007,0,0,0,0,0,0,0,4/20/2019
1008,0,0,0,0,0,0,0,10/13/2019
1009,0,0,0,0,0,0,1,11/11/2019
1010,1,0,0,0,0,0,0,8/17/2020
1011,0,0,0,0,0,0,0,4/20/2019
1012,0,0,0,0,0,0,0,4/21/2020
1013,0,0,0,0,0,0,0,4/21/2020
1014,0,0,0,0,0,0,0,3/17/2019
1015,0,0,1,1,0,0,1,5/1/2019
1016,0,0,0,0,0,0,0,5/31/2019
1017,0,0,0,0,0,0,0,2/5/2019
1018,0,0,0,1,0,0,0,9/2/2019
1019,0,0,0,0,0,0,0,4/10/2019
1020,0,0,0,0,0,0,0,1/13/2019
1021,0,0,0,0,0,0,0,6/13/2019
1022,0,1,0,0,0,0,0,5/30/2019
1023,0,0,0,0,0,0,0,6/17/2020
1024,0,0,0,0,0,0,0,8/23/2019
1025,0,0,0,0,0,0,0,6/9/2019
1026,0,0,0,0,0,0,0,11/1/2019
1027,0,0,0,0,0,0,0,11/5/2019
1028,0,0,1,0,0,0,0,4/28/2020
1029,0,0,0,0,0,0,0,10/26/2020
1030,0,0,0,0,0,0,0,10/16/2019
1031,0,1,0,0,0,0,0,3/17/2019
1032,0,0,0,0,0,0,1,4/5/2019
1033,0,0,0,0,0,0,0,7/28/2019
1034,0,0,0,0,0,0,0,2/3/2020
1035,0,0,0,0,0,0,0,6/6/2020
1036,0,0,0,0,0,0,0,2/7/2020
1037,0,0,0,0,0,0,0,7/18/2020
1038,1,0,0,0,0,0,1,7/9/2019
1039,0,0,0,0,0,0,0,10/4/2019
1040,0,0,0,0,0,0,0,8/17/2019
1041,0,0,0,0,0,0,0,5/31/2019
1042,0,0,0,0,0,0,0,3/8/2020
1043,0,0,0,0,0,0,0,12/2/2020
1044,0,0,0,0,0,0,1,4/16/2019
1045,0,0,0,0,0,0,0,10/29/2019
1046,0,0,0,0,0,0,0,4/15/2019
1047,0,0,0,0,0,0,0,10/16/2020
1048,0,0,0,0,0,0,0,1/16/2019
1049,0,0,0,0,0,0,0,6/9/2019
1050,1,0,0,1,0,0,1,11/11/2020
1051,0,0,0,0,0,0,0,11/17/2019
1052,0,0,1,0,0,0,1,4/26/2019
1053,0,0,0,0,0,0,1,9/7/2019
1054,0,0,0,0,0,0,0,10/2/2020
1055,0,0,0,0,0,0,0,8/7/2020
1056,0,1,1,0,0,0,1,12/9/2019
1057,0,0,0,0,0,0,0,2/12/2019
1058,0,0,0,0,0,0,0,7/26/2019
1059,0,0,0,0,0,0,0,11/16/2019
1060,0,0,0,0,0,0,0,5/12/2020
1061,0,0,0,0,0,0,1,10/26/2019
1062,0,0,0,0,0,0,0,10/15/2020
1063,1,0,0,1,0,0,1,8/23/2020
1064,0,0,0,0,0,0,0,3/3/2020
1065,0,0,0,0,0,0,0,9/13/2019
1066,0,0,0,0,0,0,0,2/16/2019
1067,0,0,0,0,0,0,0,8/22/2019
1068,0,1,0,0,0,0,0,9/10/2019
1069,0,0,0,0,0,0,0,10/4/2020
1070,0,0,0,0,0,0,0,5/26/2019
1071,0,0,0,0,0,0,1,2/1/2019
1072,1,0,0,0,0,0,1,3/19/2019
